stagione,data,partita,arbitro,mercato,quota,prob_%,edge_%,stake_€,esito,profitto_€
2023-24,2023-11-04T00:00:00.000,Milan vs Udinese,—,2 - Vittoria Ospite,7.3,16.6,21.2,4.2,✓ Vinta,26.46
2023-24,2023-11-04T00:00:00.000,Milan vs Udinese,—,X - Pareggio,4.66,25.8,20.4,6.97,✗ Persa,-6.97
2023-24,2023-11-05T00:00:00.000,Cagliari vs Genoa,—,Under 2.5 Gol,1.68,78.5,31.8,58.53,✗ Persa,-58.53
2023-24,2023-11-05T00:00:00.000,Roma vs Lecce,—,Under 2.5 Gol,1.74,68,18.3,30.83,✗ Persa,-30.83
2023-24,2023-11-05T00:00:00.000,Roma vs Lecce,—,X - Pareggio,3.99,29.5,17.5,7.33,✗ Persa,-7.33
2023-24,2023-11-05T00:00:00.000,Fiorentina vs Juventus,—,X - Pareggio,3.3,40.3,32.9,17.86,✗ Persa,-17.86
2023-24,2023-11-10T00:00:00.000,Sassuolo vs Salernitana,—,2 - Vittoria Ospite,4.92,30.9,52.2,16.64,✗ Persa,-16.64
2023-24,2023-11-10T00:00:00.000,Genoa vs Verona,—,2 - Vittoria Ospite,4.74,31.6,49.9,16.67,✗ Persa,-16.67
2023-24,2023-11-10T00:00:00.000,Genoa vs Verona,—,Under 2.5 Gol,1.57,80.1,25.7,56.42,✓ Vinta,32.16
2023-24,2023-11-11T00:00:00.000,Lecce vs Milan,—,1 - Vittoria Casa,5.21,22.8,18.6,5.53,✗ Persa,-5.53
2023-24,2023-11-11T00:00:00.000,Juventus vs Cagliari,—,X - Pareggio,5.01,24.1,20.8,6.5,✗ Persa,-6.5
2023-24,2023-11-12T00:00:00.000,Napoli vs Empoli,—,X - Pareggio,7.07,24.9,75.8,15.61,✗ Persa,-15.61
2023-24,2023-11-12T00:00:00.000,Napoli vs Empoli,—,Under 2.5 Gol,2.9,54.5,58.1,38.23,✓ Vinta,72.64
2023-24,2023-11-12T00:00:00.000,Napoli vs Empoli,—,2 - Vittoria Ospite,11.78,11.7,38.3,4.44,✓ Vinta,47.86
2023-24,2023-11-12T00:00:00.000,Fiorentina vs Bologna,—,X - Pareggio,3.51,37,29.7,14.8,✗ Persa,-14.8
2023-24,2023-11-12T00:00:00.000,Udinese vs Atalanta,—,Over 2.5 Gol,1.99,59.4,18.2,22.99,✗ Persa,-22.99
2023-24,2023-11-12T00:00:00.000,Lazio vs Roma,—,Under 2.5 Gol,1.62,78.4,27.1,54.61,✓ Vinta,33.86
2023-24,2023-11-12T00:00:00.000,Lazio vs Roma,—,1 - Vittoria Casa,3,42.7,28.1,17.55,✗ Persa,-17.55
2023-24,2023-11-25T00:00:00.000,Salernitana vs Lazio,—,1 - Vittoria Casa,4.82,24.7,19.2,6.27,✓ Vinta,23.95
2023-24,2023-11-25T00:00:00.000,Atalanta vs Napoli,—,2 - Vittoria Ospite,2.68,42.9,15,11.16,✓ Vinta,18.75
2023-24,2023-11-26T00:00:00.000,Cagliari vs Monza,—,2 - Vittoria Ospite,2.63,44.7,17.6,13.53,✗ Persa,-13.53
2023-24,2023-11-26T00:00:00.000,Roma vs Udinese,—,2 - Vittoria Ospite,5.99,20.1,20.6,5.17,✗ Persa,-5.17
2023-24,2023-11-26T00:00:00.000,Empoli vs Sassuolo,—,1 - Vittoria Casa,2.8,42.4,18.7,13,✗ Persa,-13
2023-24,2023-11-26T00:00:00.000,Juventus vs Inter,—,X - Pareggio,3.21,40,28.3,16.03,✓ Vinta,35.43
2023-24,2023-12-01T00:00:00.000,Monza vs Juventus,—,1 - Vittoria Casa,4.12,31,27.6,11.07,✗ Persa,-11.07
2023-24,2023-12-02T00:00:00.000,Genoa vs Empoli,—,2 - Vittoria Ospite,4.28,38.4,64.4,24.54,✗ Persa,-24.54
2023-24,2023-12-02T00:00:00.000,Genoa vs Empoli,—,Under 2.5 Gol,1.73,76.4,32.2,55.1,✓ Vinta,40.22
2023-24,2023-12-03T00:00:00.000,Fiorentina vs Salernitana,—,2 - Vittoria Ospite,7.14,17.8,27,5.49,✗ Persa,-5.49
2023-24,2023-12-03T00:00:00.000,Fiorentina vs Salernitana,—,X - Pareggio,4.79,24.6,17.7,5.83,✗ Persa,-5.83
2023-24,2023-12-03T00:00:00.000,Napoli vs Inter,—,X - Pareggio,3.51,38.3,34.4,17.12,✗ Persa,-17.12
2023-24,2023-12-04T00:00:00.000,Torino vs Atalanta,—,Over 2.5 Gol,2.31,50.3,16.3,15.53,✓ Vinta,20.34
2023-24,2023-12-08T00:00:00.000,Juventus vs Napoli,—,X - Pareggio,3.32,41.2,36.8,19.81,✗ Persa,-19.81
2023-24,2023-12-08T00:00:00.000,Juventus vs Napoli,—,Under 2.5 Gol,1.76,67.2,18.3,30.03,✓ Vinta,22.82
2023-24,2023-12-09T00:00:00.000,Atalanta vs Milan,—,Over 2.5 Gol,2.09,63.7,33.2,38.04,✓ Vinta,41.46
2023-24,2023-12-09T00:00:00.000,Inter vs Udinese,—,X - Pareggio,6.14,23.6,45.1,10.98,✗ Persa,-10.98
